loc,name,gu
서울특별시 중구 삼일대로 231,남산도시자연공원,중구
서울특별시 강동구 천호대로 1291,길동생태공원,강동구
서울특별시 성동구 뚝섬로 273,서울숲,성동구
서울특별시 마포구 하늘공원로 84(월드컵공원),월드컵공원,마포구
서울특별시 종로구 세종로 76-2,광화문시민열린마당,종로구
서울특별시 은평구 진관동 393,진관근린공원(구파발폭포),은평구
서울특별시 영등포구 영등포동2가 222,중마루근린공원,영등포구
서울특별시 성동구 금호동1가 산1-72,응봉공원,성동구
서울특별시 강서구 등촌동 630-14,매화근린공원,강서구
서울특별시 성동구 성수2가 3동 302-25,성수근린공원,성동구
서울특별시 강동구 명일1동 288,샛마을근린공원,강동구
서울특별시 영등포구 여의공원로 68 (여의도동),여의도근린공원,영등포구
서울특별시 동대문구 서울시립대로2길 59(간데메공원),간데메근린공원,동대문구
서울특별시 중구 을지로 227,훈련원근린공원,중구
서울특별시 영등포구 신길로 275,영등포근린공원,영등포구
서울특별시 동작구 여의대방로20길 33(보라매공원),보라매근린공원,동작구
서울특별시 광진구 능동로 216(어린이대공원),어린이대공원,광진구
서울특별시 강동구 올림픽로 702(천호공원),천호근린공원,강동구
서울특별시 용산구 서빙고로 185,용산가족공원,용산구
서울특별시 서대문구 통일로251(독립공원),독립근린공원,서대문구
서울특별시 종로구 낙산길 41 (우) 03085,낙산근린공원,종로구
서울특별시 서초구 매헌로 99 (양재동),양재시민의숲,서초구
서울특별시 관악구 관악로 1(관악산공원),관악산도시자연공원,관악구
서울특별시 용산구 효창원로 177-18,효창근린공원,용산구
서울특별시 금천구 독산4동 371∼375 373일대,감로천생태공원(관악산),금천구
서울특별시 성북구 북악산로 949-73(돈암동 6-1),개운산근린공원,성북구
서울특별시 구로구 오류동 산13-1,개웅산근린공원,구로구
서울특별시 종로구 새문안로 55(신문로2가 2-1),경희궁,종로구
서울특별시 동작구 사당2동 산41-2,국립현충원,동작구
서울특별시 양천구 신정동 산44-2일대,계남근린공원,양천구
서울특별시 구로구 고척로45길 39(고척공원),고척근린공원,구로구
서울특별시 양천구 목동동로 363 ,파리근린공원,양천구
서울특별시 강서구 허준로5길 42,허준공원,강서구
서울특별시 서대문구 성산로7길 19-24(궁동공원) ,궁동근린공원,서대문구
서울특별시 강서구 가양동 산4-7,궁산근린공원,강서구
서울특별시 동작구 사당동 산32,까치산근린공원,동작구
서울특별시 강서구 방화동 산110,꿩고개근린공원,강서구
서울특별시 동작구 여의대방로 15-45(여의대방로36길 71),노량진공원,동작구
서울특별시 동대문구 답십리로 209(답십리공원) ,답십리근린공원,동대문구
서울특별시 강남구 광평로10길 30-71(대모산공원) ,대모산도시자연공원,강남구
서울특별시 종로구 종로 99,탑골근린공원,종로구
서울특별시 양천구 신정동 162-56,갈산근린공원,양천구
서울특별시 송파구 마천동 산 1-1,천마근린공원,송파구
서울특별시 강남구 도곡동 산31-1,도곡근린공원,강남구
서울특별시 강남구 도산대로45길 20(도산공원),도산근린공원,강남구
서울특별시 성북구 화랑로18가길 50,청량공원,성북구
서울특별시 도봉구 창동 산157,초안산근린공원,도봉구
서울특별시 강동구 고덕2동 229,동명근린공원,강동구
서울특별시 종로구 대학로8길 1,마로니에공원,종로구
서울특별시 영등포구 의사당대로 166 (우) 07324,자매근린공원,영등포구
서울특별시 송파구 장지동 산 11번지,장지근린공원,송파구
서울특별시 강동구 상일동 135,명일근린공원,강동구
서울특별시 강서구 금낭화로 176(방화공원),방화근린공원,강서구
서울특별시 송파구 올림픽로 44 (잠실동),아시아근린공원,송파구
서울특별시 동대문구 한천로43길 12-14(배봉산공원) ,배봉산근린공원,동대문구
서울특별시 서대문구 홍제동 산33-98,안산도시자연공원,서대문구
서울특별시 강서구 염창동 산24-1,염창근린공원,강서구
서울특별시 서대문구 통일로 507-22(백련공원) ,백련근린공원,서대문구
서울특별시 송파구 오금로 363 오금근린공원 ,오금근린공원,송파구
서울특별시 강북구 번동 산20-1,오동근린공원,강북구
서울특별시 은평구 구산동 산61,봉산도시자연공원,은평구
서울특별시 구로구 개봉동 산2-60,온수도시자연공원,구로구
서울특별시 강남구 삼성동 75,봉은공원,강남구
서울특별시 송파구 올림픽로 424 (방이동),올림픽공원,송파구
서울특별시 종로구 와룡공원길 192 (우) 03063,와룡근린공원,종로구
서울특별시 중랑구 묵동 산46-1,봉화산근린공원,중랑구
서울특별시 종로구 부암동 산2-6,북악산도시자연공원,종로구
서울특별시 종로구 은평구 서대문구 성북구 강북구 도봉구 일대 경기도 의정부 양주군 고양시 일대,북한산국립공원,강북구
서울특별시 마포구 양화진길 46(외국인묘지공원),외국인묘지공원,마포구
서울특별시 은평구 불광동 산33-1,불광근린공원,은평구
서울특별시 노원구 한글비석로12길 51-33(불암산공원) ,불암산도시자연공원,노원구
서울특별시 중랑구 면목동 산1-4 ,용마폭포공원,중랑구
서울특별시 동작구 노량진로 191,사육신공원,동작구
서울특별시 양천구 목동 199-51,용왕산근린공원,양천구
서울특별시 종로구 사직로9길 5,사직근린공원,종로구
서울특별시 강서구 내발산동 산4-5,우장산근린공원,강서구
서울특별시 동작구 사당동 산24-17,삼일근린공원,동작구
서울특별시 종로구 북촌로 134-1 (우) 03050,삼청근린공원,종로구
서울특별시 종로구 옥인동 산 3-1 ,인왕산도시자연공원,종로구
서울특별시 동작구 성대로6사길 27-6(상도공원) ,상도근린공원,동작구
서울특별시 강동구 동남로 660(일자산공원),일자산도시자연공원,강동구
서울특별시 도봉구 쌍문동 산80,쌍문근린공원,도봉구
서울특별시 노원구 상계동 산3-1,수락산도시자연공원,노원구
서울특별시 송파구 잠실로 148 (잠실동) ,송파나루근린공원(석촌호수),송파구
서울특별시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소,선유도근린공원,영등포구
서울특별시 중구 손기정로 101 ,손기정체육공원,중구
서울특별시 성북구 돈암동 616-1055,성북근린공원,성북구
서울특별시 강서구 화곡동 산41-6,봉제산공원,강서구
서울특별시 도봉구 마들로 916(서울창포원) ,서울창포원,도봉구
서울특별시 강북구 월계로 173,북서울꿈의숲,강북구
서울특별시 양천구 남부순환로64길 20 (신월동),서서울호수공원,양천구
서울특별시 중랑구 송림길 160(중랑캠핑숲)/중랑구 망우동 74(청소년체험의숲),중랑캠핑숲,중랑구
서울특별시 강북구 우이동 80번지 일대,솔밭근린공원,강북구
서울특별시 금천구 독산동 산118-4(금천체육공원),금천체육공원(관악산),금천구
서울특별시 금천구 시흥대로38길 61(시흥동 937-2),금천폭포근린공원,금천구
서울특별시 금천구 독산동 산8 일대,만수천공원(관악산),금천구
서울특별시 도봉구 시루봉로6길 33,발바닥공원,도봉구
서울특별시 도봉구 창동 28번지,월천근린공원,도봉구
서울특별시 동대문구 용두동 34-1번지 일대,용두근린공원,동대문구
서울특별시 마포구 상암동 1761,상암근린공원,마포구
서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),와우근린공원,마포구
서울특별시 성동구 장터1길 18,금호근린공원,성동구
서울특별시 성동구 옥수동 산1-1,달맞이근린공원,성동구
서울특별시 송파구 문정동 18-4,문정근린공원,송파구
서울특별시 서초구 바우뫼로12길 40 (양재동),문화예술공원,서초구
서울특별시 종로구 세종대로 189 (우) 03172,세종로공원,종로구
서울특별시 관악구 대학동 산63-1일대 샘말공원,샘말공원(관악산),관악구
서울특별시 도봉구 창동 산24,초안산생태공원,도봉구
서울특별시 구로구 연동로 240(항동81-1) 푸른수목원관리사무소,푸른수목원,구로구
서울특별시 은평구 구파발동 갈현동 진관내동,서오능도시자연공원,은평구
서울특별시 서초구 원지동 산 33,청계산도시자연공원,서초구
서울특별시 강서구 개화동 산17,개화근린공원,강서구
서울특별시 광진구 광장동 370,아차산생태공원,광진구
서울특별시 서초구 내곡동 산12-404,인능산도시자연공원,서초구
서울특별시 서초구 염곡동 산25-1,구룡산,서초구
서울특별시 서초구 우면동 산35-1,우면산도시자연공원,서초구
서울특별시 은평구 진관동 산55,향림근린공원,은평구
서울특별시 은평구 신사동 산80-4,신사근린공원,은평구
서울특별시 중구 통일로 1 서울역,문화역 서울284,중구
서울특별시 강남구 수서동 산10-1,광평근린공원,강남구
서울특별시 강남구 청담동 66,청담근린공원,강남구
서울특별시 강동구 둔촌동 산94,허브천문공원,강동구
서울특별시 은평구 통일로 849,연신내물빛공원,은평구
서울특별시 중구 망우동 산 30-7 일대,나들이근린공원,중랑구
서울특별시 종로구 숭인동 58,숭인근린공원,종로구
서울특별시 중랑구 면목동 산19,서일대뒷산공원,중랑구
서울특별시 중랑구 면목7동 산50 ,용마도시자연공원(사가정공원),중랑구
