,location,name,gu,위도,경도
115,서울특별시 중구 망우동 산 30-7,나들이근린공원,중랑구,37.60471769999999,127.1124474
116,서울특별시 종로구 숭인동 58,숭인근린공원,종로구,37.5774818,127.0182146
117,서울특별시 중랑구 면목동 산19,서일대뒷산공원,중랑구,37.5875046,127.09906
118,서울특별시 중랑구 면목7동 산50 ,용마도시자연공원(사가정공원),중랑구,37.5801465,127.095263
119,서울특별시 마포구 증산로 87,문화비축기지,마포구,37.5709869,126.894132
120,서울특별시 노원구 공릉2동 산 82-2,경춘선숲길,노원구,37.6270567,127.0765879
121,서울특별시 강남구 율현동 밤고개로24길,율현공원,강남구,37.4716229,127.1047603
122,서울특별시 중구 망우동 산 30-7,나들이근린공원,중랑구,37.60471769999999,127.1124474
123,서울특별시 종로구 숭인동 58,숭인근린공원,종로구,37.5774818,127.0182146
124,서울특별시 중랑구 면목동 산19,서일대뒷산공원,중랑구,37.5875046,127.09906
125,서울특별시 중랑구 면목7동 산50 ,용마도시자연공원(사가정공원),중랑구,37.5801465,127.095263
126,서울특별시 마포구 증산로 87,문화비축기지,마포구,37.5709869,126.894132
127,서울특별시 노원구 공릉2동 산 82-2,경춘선숲길,노원구,37.6270567,127.0765879
